0	1
27240000	2
27280000	3
27320000	4
27360000	5
27400000	6
27440000	7
27480000	8
27520000	9
27560000	10
27600000	11
27640000	12
27680000	13
27720000	14
27760000	15
27800000	16
27840000	17
27880000	18
27920000	19
27960000	20
28000000	21
28040000	22
28080000	23
28120000	24
28160000	25
28200000	26
28240000	27
28280000	28
28320000	29
28360000	30
28400000	31
28440000	32
28480000	33
28520000	34
28560000	35
28600000	36
28640000	37
28680000	38
28720000	39
28760000	40
28800000	41
28840000	42
28880000	43
28920000	44
28960000	45
29000000	46
29040000	47
29080000	48
29120000	49
